City Name,Latitude,Maximum Temperature (f),Humidity (%),Cloudiness(%),Wind Speed (mph)
Mayo,63.59,-25.6,67,75,3.36
Alice Springs,-23.7,69.8,68,75,8.05
Arraial do Cabo,-22.97,76.08,86,100,2.51
Mitsamiouli,-11.38,82.92,72,98,4.63
Thompson,55.74,6.8,84,90,10.29
Butaritari,3.07,85.01,75,100,17.43
Chapais,49.78,6.8,84,90,4.7
Nishihara,35.74,54.0,43,20,11.41
Togitsu,32.83,55.4,71,75,10.29
Adrar,27.87,42.8,38,0,10.29
Kirakira,-10.46,83.91,74,97,12.17
Bilma,18.69,51.28,31,48,6.42
Pierre,44.37,33.8,69,1,9.17
Mataura,-46.19,48.99,80,100,21.99
Kodiak,39.95,37.99,64,1,5.82
Tasiilaq,65.61,20.64,90,100,38.86
Ronne,48.45,30.2,100,0,2.24
Sassandra,4.95,70.86,75,0,4.5
The Valley,18.22,79.0,74,20,8.05
Bosaso,11.28,77.88,75,0,5.57
Strezhevoy,60.73,24.8,92,90,15.66
Waingapu,-9.65,84.13,77,37,22.37
Magadan,59.56,15.39,62,26,7.4
Sao Joao da Barra,-21.64,75.29,94,100,4.38
Hofn,64.25,46.04,95,100,21.39
San Jeronimo,-13.65,50.9,93,100,1.41
Los Llanos de Aridane,28.66,64.4,63,75,8.05
Faanui,-16.48,82.38,72,12,11.03
Nanortalik,60.14,28.49,71,100,29.53
Mecca,21.43,56.19,48,0,2.35
Byron Bay,-28.65,88.0,58,32,16.11
San Cristobal,14.68,58.95,98,72,4.65
Avera,33.19,46.99,75,1,4.7
Ahipara,-35.17,72.0,76,3,1.99
Emirdag,39.02,27.09,97,100,7.65
Cairns,-16.92,89.01,70,40,5.82
Mitu,36.2,23.99,98,98,3.36
Tuktoyaktuk,69.44,-23.8,74,20,5.82
Yellowknife,62.45,-16.01,82,5,5.82
Jamestown,-33.21,73.4,55,82,0.31
Hokitika,-42.72,56.16,65,21,37.47
Ruidoso,33.33,48.2,38,1,5.82
Hobart,-42.88,75.99,55,20,13.87
Necochea,-38.55,63.0,94,100,5.99
Sinop,42.03,43.25,60,100,3.78
Najran,17.54,64.4,59,0,8.05
Tchibanga,-2.92,72.86,95,75,1.25
Noumea,-22.28,87.8,52,75,13.87
Nikolskoye,59.7,25.0,85,100,2.24
Tura,64.27,11.7,89,100,6.44
Kahului,20.89,80.6,57,20,21.92
Konza,-1.74,66.2,88,75,3.36
Kayerkan,69.35,19.4,92,40,26.84
Udachnyy,66.42,-2.2,77,100,6.71
Mar del Plata,-46.43,56.43,57,64,23.22
Jumla,29.28,33.28,30,3,2.53
Lagoa,37.14,51.8,76,0,9.17
Banjarmasin,-3.32,78.8,88,20,4.7
Yekaterinoslavka,54.34,18.34,95,87,8.63
Mogadishu,2.04,80.58,86,8,17.67
Shimoda,34.7,59.0,65,20,9.17
Ust-Kulom,61.69,18.57,92,100,8.08
Isangel,-19.55,87.8,62,20,14.99
Castro,-42.48,51.8,81,40,1.12
Kargil,34.56,0.81,96,100,1.92
Samarai,-10.62,86.9,65,19,8.1
Coquimbo,-29.95,60.8,82,20,6.93
Isla Vista,34.41,60.8,64,1,13.87
Longyearbyen,78.22,-0.4,64,20,11.41
Kassala,15.45,60.21,89,0,4.76
Hamilton,43.26,32.0,100,90,10.29
Bonthe,7.53,75.56,72,0,4.16
Souillac,45.6,36.0,89,0,3.36
Faya,18.39,57.2,87,20,10.29
Katsuura,33.93,53.01,54,20,3.36
Khatanga,71.98,-2.85,98,99,5.68
Shache,38.42,21.09,63,97,1.25
Buarcos,40.16,45.0,93,0,2.24
Scottsbluff,41.87,34.0,58,20,6.93
Soe,57.91,30.2,74,100,11.41
Tezu,27.93,55.27,79,78,1.39
Constitucion,23.99,62.6,16,40,3.36
Yoichi,43.19,30.0,74,75,23.04
Luderitz,-26.65,62.92,85,0,20.76
Petropavlovsk-Kamchatskiy,53.05,32.0,79,75,15.66
Sao Filipe,14.9,70.3,67,98,19.91
Nikolayevsk-na-amure,53.14,8.92,92,100,5.17
Viedma,-40.81,57.79,93,95,3.02
Vila Franca do Campo,37.72,64.4,93,75,16.11
Sroda Wielkopolska,52.23,33.01,81,90,8.05
Dikson,73.51,17.19,94,100,16.11
Iracoubo,5.48,79.3,78,24,10.45
Charters Towers,-20.07,95.34,27,0,9.31
Duku,-1.19,82.27,55,0,2.73
Gat,14.69,69.8,30,0,14.99
Cayenne,4.94,78.8,83,42,4.7
Talnakh,69.49,19.4,92,40,26.84
Geraldton,49.72,17.6,85,90,3.36
Paamiut,61.99,12.29,95,100,34.38
Aleksandrovskoye,56.74,27.0,92,75,13.42
Moroceli,14.13,59.0,93,75,11.41
Florianopolis,-27.6,75.2,88,40,2.24
Puerto Ayacucho,5.66,80.6,74,20,5.82
Lavrentiya,65.58,-11.22,81,0,4.18
Zemio,5.02,63.55,31,100,1.9
Corcoran,36.1,51.8,100,1,6.93
Coihaique,-45.58,51.8,66,90,4.7
Acapulco,16.86,80.6,78,75,2.24
Dingle,11.0,79.36,85,97,16.37
Clyde River,70.47,-40.0,52,1,18.34
Roald,62.58,48.2,81,100,13.87
Puerto del Rosario,28.5,64.4,68,1,9.17
Powell,40.16,41.0,69,90,12.75
Elblag,54.15,36.0,96,75,10.29
Lompoc,34.64,60.8,52,1,13.87
Iqaluit,63.75,-16.6,62,90,5.82
Hobyo,5.35,77.85,83,51,11.95
Buchanan,5.88,68.0,88,20,3.36
Thaba-Tseka,-29.52,50.13,78,0,2.13
Port Macquarie,-31.43,87.01,57,40,9.17
Sopur,34.3,25.65,73,100,2.46
Hithadhoo,-0.6,84.33,73,100,12.73
Fakse Ladeplads,55.22,41.0,100,100,6.93
Almaznyy,48.03,35.6,93,75,2.24
Yunyang,32.84,36.97,94,100,5.75
Haines Junction,60.75,-3.01,98,100,4.85
Marsaxlokk,35.84,52.0,49,0,16.11
Tiksi,71.64,-12.57,86,3,13.6
Karratha,-20.74,87.49,64,100,6.98
Kaitangata,-46.28,52.0,63,100,23.0
Methoni,36.82,50.0,49,100,6.93
Victoria,5.28,84.2,70,75,4.7
Mishelevka,52.86,5.59,90,59,4.99
Meulaboh,4.14,80.6,76,29,5.77
Naze,5.43,73.4,83,2,0.83
Saldanha,41.42,34.38,84,0,0.56
Inverell,-29.78,91.99,35,0,4.0
Nueve de Julio,-31.67,71.53,56,14,22.24
San Fernando,10.28,75.99,78,20,6.26
Broken Hill,-31.97,60.8,77,100,21.92
Cidreira,-30.17,74.7,84,0,23.15
Miraflores,-16.39,57.2,62,40,3.04
Te Anau,-45.41,43.54,77,60,11.92
Vila Velha,-3.71,86.0,74,75,5.82
Ust-Tsilma,65.44,11.84,92,100,8.79
Comodoro Rivadavia,-45.87,68.0,34,75,16.11
Thinadhoo,0.53,83.93,74,88,13.0
Kavieng,-2.57,85.75,69,29,8.14
Maceio,-9.67,75.2,88,100,4.7
Raigarh,21.9,62.22,45,0,3.51
Ribeira Grande,38.52,60.04,93,100,16.71
Kaliua,-5.06,64.96,96,100,5.79
Bambous Virieux,-20.34,75.2,94,75,10.29
Nouadhibou,20.93,59.0,72,25,14.99
Berlevag,70.86,25.29,75,100,15.14
Hasaki,35.73,48.0,48,20,12.75
Preston,53.76,48.0,87,90,10.29
Masty,53.42,29.39,82,52,7.63
Oktyabrskiy,55.61,32.0,96,75,4.47
Kabanjahe,3.1,78.8,94,20,6.93
Lasa,34.92,57.2,82,75,14.99
Bredasdorp,-34.53,64.4,72,100,4.7
Makokou,0.56,70.75,84,41,0.98
Tabuk,17.41,77.94,70,4,3.8
Ballina,54.11,50.0,89,100,17.0
Tilichiki,60.47,-8.73,70,83,7.83
Carnarvon,-30.97,58.98,82,69,7.38
Panzhihua,26.59,55.99,84,0,4.38
Kharan,28.58,57.65,90,100,10.13
East London,-33.02,71.82,77,44,5.39
Kaeo,-35.1,72.0,76,5,1.99
Mengyin,35.71,45.32,82,100,4.59
Urucui,-7.23,72.75,79,22,2.44
Port Hardy,50.7,35.6,95,75,5.82
Praia,-20.25,73.4,83,40,4.45
Bodden Town,19.28,78.8,78,20,14.99
San Francisco,1.17,50.7,94,4,6.31
Qarqin,37.41,45.57,80,100,1.28
Chake Chake,-5.25,82.78,77,100,12.24
Manokwari,-0.87,79.05,83,90,1.59
Flin Flon,54.77,-9.24,95,44,4.38
Seymchan,62.93,-13.5,100,92,1.61
Hami,42.84,22.86,38,99,1.16
Molokovo,58.16,24.91,84,6,4.09
Beringovskiy,63.05,-6.29,80,94,16.04
Alta Floresta,-9.87,68.29,98,100,2.04
Uyuni,-20.46,49.84,46,14,14.52
Huilong,31.15,47.91,82,100,3.06
Acari,-6.44,74.16,76,100,15.75
Karpogory,64.0,10.74,95,100,8.41
Minbu,20.18,72.52,69,0,7.47
Wajima,37.4,41.0,60,75,3.36
Azul,-36.78,62.01,95,100,1.99
Idar,49.72,37.99,100,90,2.48
Bathsheba,13.22,75.2,94,75,3.36
Baker City,44.77,35.6,89,75,4.7
Ponta do Sol,-20.63,66.6,96,2,2.24
General Roca,-39.03,68.0,32,0,19.46
Sumenep,-7.02,86.4,69,38,12.64
Arrifes,37.77,64.4,93,75,16.11
Buta,2.79,67.71,95,100,2.26
Salalah,17.01,75.2,78,75,5.82
Cabo San Lucas,22.89,70.0,77,75,3.36
Inirida,3.87,72.73,72,0,4.12
Omsukchan,62.53,-5.58,58,91,0.85
West Wendover,40.74,39.2,48,75,5.82
Skibbereen,51.55,46.4,87,75,20.8
Ambilobe,-13.19,76.93,90,100,3.47
Kotovo,50.32,28.44,97,88,4.72
Lovington,32.94,48.99,39,1,6.93
Palana,59.08,7.48,73,0,3.09
Pokhara,28.21,52.16,51,0,0.94
Clarksburg,39.24,34.0,71,1,2.13
Aklavik,68.22,-16.6,68,90,4.7
Lebu,8.96,51.46,81,38,0.56
Namatanai,-3.66,85.84,71,87,8.95
Puerto Rico,1.91,71.74,88,61,3.15
San Patricio,-26.98,78.6,53,0,8.46
Palmer,-34.85,78.01,45,0,16.11
Marathon,48.72,31.24,92,100,27.04
Poum,41.28,23.05,63,0,7.4
Oranjestad,12.52,80.6,78,20,3.36
Nkan,2.95,67.3,96,88,1.23
Mareeba,-16.99,89.01,70,40,5.82
Claremore,36.31,51.8,30,1,3.36
Vao,59.1,30.83,95,100,14.32
Homer,59.64,21.2,67,75,5.53
Ostrovnoy,68.05,12.79,84,94,15.73
Georgiyevskoye,44.16,34.54,77,100,3.8
Banda Aceh,5.56,83.07,63,54,9.91
Vostok,46.45,10.76,87,36,3.06
Alpinopolis,-20.86,64.22,95,0,2.82
Caravelas,-17.73,71.42,94,100,5.68
Narsaq,60.91,17.6,78,90,8.05
Sorland,67.67,39.2,86,75,5.82
Qaqortoq,60.72,17.6,78,90,8.05
Lufilufi,-13.87,91.4,66,40,10.29
Kloulklubed,7.04,84.2,79,75,16.11
Cabedelo,-6.97,80.6,78,40,5.82
Santa Maria,-16.02,68.0,94,75,3.36
Atambua,-9.11,80.01,79,100,6.73
Namibe,-15.19,72.82,87,68,10.18
Taoudenni,22.68,50.68,21,23,5.79
Deputatskiy,69.3,-17.93,76,85,0.74
Llangefni,53.26,48.0,87,96,23.04
Zhigansk,66.77,-11.67,94,99,16.67
Kota Belud,6.35,87.01,74,75,3.36
Kayes,14.44,59.36,20,0,8.16
Gambela,8.25,71.13,60,0,1.88
Emba,34.81,57.2,82,75,14.99
Sovetskiy,56.76,17.71,97,82,7.43
Pauini,-7.71,73.36,98,54,2.59
Sorong,-0.86,90.1,56,72,5.26
Norman Wells,65.28,-31.0,73,20,3.36
Grand Gaube,-20.01,75.2,94,75,10.29
Havelock,34.88,44.6,80,1,3.65
Vanimo,-2.67,82.02,74,100,8.37
Itoman,26.12,71.6,56,20,9.17
Pandamatenga,-18.54,67.66,84,100,2.77
Lipin Bor,60.26,16.09,94,0,4.36
Shamary,57.34,19.83,96,100,5.84
Kruisfontein,-34.0,63.05,87,100,3.0
Sinnamary,5.38,79.3,78,24,10.45
Tuatapere,-46.13,48.99,80,100,21.99
Tra Vinh,9.93,87.1,49,0,5.28
Rakaia,-43.76,73.0,30,100,8.05
Gornopravdinsk,60.06,14.31,96,100,7.56
Asyut,27.18,44.6,67,0,10.29
Gary,41.6,39.2,64,40,10.29
Biloela,-24.4,92.12,27,44,13.13
Pisco,-13.71,70.0,83,65,17.22
Archidona,-0.91,62.89,89,94,3.94
Kimbe,-5.56,85.59,74,34,5.23
Sibolga,1.74,85.64,55,1,1.92
Vanavara,60.35,14.27,94,100,8.25
Soma,37.8,48.0,36,40,14.99
Nevers,46.99,32.0,95,0,8.05
Manama,25.33,73.4,88,40,5.82
Vestmannaeyjar,63.44,45.79,91,100,28.48
Itapetininga,-23.59,67.01,97,59,3.51
Rajula,21.04,66.78,51,0,8.99
Ust-Nera,64.57,-23.06,100,100,2.06
Watrous,51.67,19.24,85,29,10.74
Sinegorye,62.09,-4.22,75,0,2.24
Zyryanovsk,49.74,6.4,60,0,2.1
Berdigestyakh,62.1,5.79,97,100,3.04
Danielskuil,-28.19,68.61,17,0,9.91
Manavalakurichi,8.13,78.8,94,20,3.36
Puerto Cabezas,14.04,73.51,95,7,4.27
Mount Gambier,-37.83,71.6,35,0,11.41
Dhuburi,26.03,61.61,58,0,1.88
Maltahohe,-24.83,65.82,29,0,11.5
Nizhniy Kuranakh,58.84,15.69,89,100,12.68
Darnah,32.77,55.81,59,100,33.4
Sitka,37.17,36.0,53,0,1.01
Ancud,-41.87,51.8,81,40,1.12
Mildura,-34.18,64.0,77,100,11.41
Tarko-Sale,64.92,25.0,89,100,9.66
Waitati,-45.75,55.99,52,70,38.01
Denpasar,-8.65,84.2,89,40,11.41
Vrangel,42.73,30.65,59,100,13.49
Ostersund,63.18,37.4,85,70,14.99
Pevek,69.7,-7.29,80,0,3.85
Lac du Bonnet,50.25,15.01,80,0,5.95
Georgetown,6.8,71.6,88,0,6.93
Coahuayana,18.62,72.73,48,0,3.58
Englehart,47.82,1.4,91,1,8.05
Zhaoyuan,45.52,19.85,87,100,7.81
Shiyan,32.65,36.95,92,100,4.32
Koundara,12.49,62.42,15,0,4.43
Saryg-Sep,51.49,-9.78,91,37,0.87
Udalguri,26.75,59.4,72,0,4.41
Soure,40.06,45.0,93,0,2.24
Petatlan,17.52,82.4,65,5,3.36
Sampit,-2.54,87.67,61,100,3.6
Port Lincoln,-34.72,68.05,54,2,10.22
Panaba,21.28,68.94,78,38,8.66
Calvia,39.57,51.01,80,0,3.36
Saint-Pierre,48.95,28.99,100,90,3.36
Maragogi,-9.01,80.02,78,100,8.61
Guano,-1.61,47.88,85,54,3.56
Truth or Consequences,33.13,51.8,29,1,3.36
Kampot,10.62,80.6,69,44,1.12
Vikramasingapuram,8.71,78.8,94,20,3.36
Luganville,-15.51,84.2,79,75,11.41
Yagodnoye,62.52,-8.43,87,0,3.6
Matay,28.42,43.05,76,0,7.96
Srisailam,16.07,68.97,87,59,6.78
Christchurch,-43.53,73.0,30,100,8.05
Sao Gabriel da Cachoeira,-0.13,76.71,83,53,2.37
Mantua,45.16,41.0,86,0,5.82
Ozernovskiy,51.5,31.48,82,42,36.37
Gizo,31.8,51.8,62,0,8.05
Tigbao,11.26,90.0,60,10,9.04
Tautira,-17.73,80.6,88,40,6.93
Manzil Salim,35.86,42.8,93,75,4.7
Ammon,43.47,25.0,79,90,8.05
Praia da Vitoria,38.73,64.4,88,75,20.18
Kidal,18.44,52.92,27,0,11.79
Moron,18.56,77.65,78,1,17.81
Bougouni,11.42,60.13,19,74,4.99
Pitimbu,-7.47,80.6,78,40,5.82
Lorengau,-2.02,85.35,69,68,8.57
Margate,-43.03,75.99,55,20,13.87
Sanghar,29.48,57.52,56,100,10.0
Jalu,29.03,49.82,63,0,16.4
Boali,4.81,68.0,82,11,4.83
Doha,25.29,62.6,82,32,11.41
Timbuktu,16.77,57.42,23,0,10.09
Yarada,17.65,73.4,73,40,9.17
Tiarei,-17.53,80.6,88,40,6.93
College,64.86,-17.0,66,100,1.77
Evensk,61.92,-2.27,46,6,4.45
Luwuk,-0.95,78.48,83,100,12.35
Nisia Floresta,-6.09,80.6,78,20,9.17
Abu Samrah,35.3,43.23,85,79,7.99
Horodyshche,50.76,30.2,100,84,6.71
Staroshcherbinovskaya,46.63,38.7,94,100,5.35
Esperance,-33.86,86.0,20,0,21.92
Leh,34.16,3.78,79,100,3.69
Rocha,-34.48,64.53,82,0,10.71
Saskylakh,71.97,-16.62,92,100,16.02
Ternate,14.29,86.0,58,20,10.29
San Policarpo,12.18,82.27,76,21,15.08
Pangody,65.85,7.43,90,0,11.92
Pottsville,40.69,35.01,70,90,3.36
Brae,60.4,50.0,93,100,23.04
Inhambane,-23.87,78.42,81,36,10.83
Requena,39.49,44.01,86,0,3.36
Bang Sai,14.21,91.0,65,20,8.05
Eyl,7.98,78.91,82,39,12.41
Tolu,35.81,48.2,60,1,5.57
Sakaiminato,35.55,42.8,81,75,3.36
Forest Grove,45.52,46.4,87,90,5.82
Bratsk,56.15,14.0,92,75,6.71
Eureka,40.8,50.0,81,1,2.8
China,25.71,61.81,64,0,13.67
Pietermaritzburg,-29.6,73.0,94,65,1.61
Brownwood,31.71,53.6,52,1,6.49
Chaman,30.92,44.94,92,100,14.34
Bayanday,53.07,7.09,92,42,1.03
Aquin,18.28,76.62,72,22,13.82
Siilinjarvi,63.08,23.0,85,90,14.99
Jiuquan,39.73,17.85,56,100,3.09
Nanchong,30.8,50.85,65,100,5.7
Chenghai,23.46,66.2,82,75,2.24
Zaliztsi,49.8,22.17,90,83,6.13
Iquique,-20.22,73.4,56,0,8.05
Northam,-31.65,87.8,20,0,4.7
Vacha,50.83,39.99,93,75,9.17
Litovko,49.24,3.85,84,0,2.15
Matagami,9.67,65.26,34,96,5.39
Vardo,39.62,33.01,75,1,2.71
Hailar,49.2,16.72,95,100,4.14
Kozulka,50.04,30.2,86,90,4.47
Ilulissat,69.22,10.4,60,100,9.17
Sydney Mines,46.24,30.99,92,90,38.03
Araioses,-2.89,75.0,96,100,2.46
Fortuna,40.6,50.0,81,1,0.65
Merauke,-8.49,77.36,91,100,7.52
Awbari,26.59,41.38,33,0,5.91
Sasaram,24.95,59.65,59,0,4.43
Kencong,-7.78,86.09,66,15,5.26
Ibra,22.69,63.39,89,62,2.71
Yining,29.04,64.98,75,67,0.56
Celestun,20.87,73.02,68,23,16.06
Altay,47.83,16.03,49,92,4.81
Gravdal,59.79,46.99,93,100,11.41
Zacapa,14.97,64.0,17,12,3.24
Mount Isa,-20.73,98.6,29,76,8.05
Taiyuan,37.86,24.8,92,90,2.24
Wajid,3.81,75.4,74,0,12.44
Matara,-3.48,55.8,92,86,1.05
Oudtshoorn,-33.59,62.6,93,100,5.82
Mizdah,31.45,47.86,86,23,12.28
Nguruka,-5.11,63.3,96,89,2.26
Marawi,8.0,80.01,73,7,5.99
Bonnyville,54.27,17.6,72,75,6.93
Escanaba,45.75,32.0,92,90,12.75
Port Augusta,-32.49,69.01,76,20,1.99
Volta Redonda,-22.52,75.2,94,90,2.24
Banamba,13.55,57.13,23,95,8.66
Thunder Bay,48.41,28.4,74,90,23.04
Hanmer Springs,-42.52,54.93,38,9,25.57
Fallon,46.84,27.0,79,1,9.17
Karasburg,-28.01,60.3,63,0,5.97
Makakilo City,21.35,82.4,69,20,11.41
Huarmey,-10.07,68.61,79,38,2.15
Lahaina,20.87,80.6,61,20,24.16
Riyadh,24.63,46.4,87,0,3.36
Kang,-23.67,77.11,48,69,5.64
Omboue,-1.57,75.49,91,99,0.27
Dudinka,69.41,19.4,92,40,26.84
Chumikan,54.72,4.08,80,0,3.31
Staryy Nadym,65.61,8.78,85,0,11.12
Nybro,56.75,42.8,87,100,11.41
Rome,41.89,45.0,69,0,3.36
Monte Carmelo,-18.73,67.14,96,0,3.0
Barbacoas,1.67,69.89,96,100,1.41
Ulaangom,49.98,-12.86,81,0,2.06
Ofunato,39.11,39.2,51,75,4.7
Nyuksenitsa,60.41,9.99,94,9,4.63
Cuenca,-2.9,57.2,93,90,4.7
Vaasa,63.1,33.01,90,75,4.7
Savannakhet,16.57,69.8,83,20,2.24
Brindisi,40.63,48.2,45,75,29.97
Jutai,-1.71,73.27,99,88,1.66
Mahebourg,-20.41,75.2,94,75,10.29
Flinders,-34.58,72.0,88,100,6.93
Gladstone,-23.84,84.99,54,75,12.75
Aykhal,65.95,-2.2,77,100,6.71
Tayu,35.06,53.01,45,20,11.41
Terrak,65.09,45.0,87,75,17.22
Merzig,49.44,39.2,93,75,2.24
Bethel,60.79,-14.8,68,1,9.17
Constantine,36.36,42.8,93,75,2.48
Ponta Delgada,37.73,64.4,93,75,16.11
Sur,22.57,67.41,81,88,11.63
Yerbogachen,61.28,10.89,92,100,11.39
La Paz,24.15,68.0,52,75,8.05
Aplahoue,6.93,70.79,42,1,3.06
Oistins,13.07,75.2,94,75,3.36
Shakawe,-18.36,67.35,86,100,2.71
Baykit,61.68,8.55,97,98,4.38
Lakes Entrance,-37.88,55.99,94,100,5.14
Baghmara,23.8,59.74,56,0,4.25
Salvador,-12.98,80.6,83,40,9.17
Shenkursk,62.11,13.21,91,0,6.89
Liverpool,53.41,48.0,87,90,10.29
